Date,24h Average,Ask,Bid,Last,Total Volume
2015-04-04,0.30000000000001,0.19000000000003,0.28,0.11000000000001,-35484.55
2015-04-03,5.55,2.35,2.38,2.3,-14693.25
2015-04-02,4.39,5.43,5.41,5.58,16137.75
2015-04-01,-2.34,0.27999999999997,0.47,0.47999999999999,5263.73
2015-03-31,1.53,-0.78999999999999,-0.84,-0.88,-13024.95
2015-03-30,-1.48,4.31,4.41,4.32,8942.94
2015-03-29,-5.61,-10.42,-10.62,-10.44,18980.33
2015-03-28,3.8,4.77,4.6,4.61,-4020.05
2015-03-27,-1.21,-0.019999999999982,0.069999999999993,-0.030000000000001,-23441.01
2015-03-26,4.23,2.18,2.34,2.21,-42870.85
2015-03-25,-12.52,-2.14,-2.35,-2.15,-18588.83
2015-03-24,-10.0,-19.18,-19.13,-19.17,69965.61
2015-03-23,5.41,-0.73000000000002,-0.56999999999999,-0.75,20310.03
2015-03-22,1.64,8.14,7.97,8.23,1725.97
2015-03-21,-0.76999999999998,-2.14,-1.9,-2.13,-3814.05
2015-03-20,4.07,1.11,0.83000000000004,0.98000000000002,-126644.31
2015-03-19,-18.11,6.18,6.29,6.26,-9873.99
2015-03-18,-14.94,-30.12,-30.13,-30.17,126883.35
2015-03-17,-0.75,-6.05,-6.12,-6.06,164.71
2015-03-16,6.48,4.89,4.94,4.96,24340.85
2015-03-15,0.75999999999999,3.51,3.7,3.51,-39187.46
2015-03-14,-7.77,-5.72,-5.88,-5.74,-14310.36
2015-03-13,-3.29,-6.5,-6.45,-6.38,22366.52
2015-03-12,1.16,-1.13,-0.96999999999997,-1.16,-4345.95
2015-03-11,-0.11000000000001,2.57,2.28,2.49,-90652.9
2015-03-10,12.31,4.72,5.08,4.96,21576.74
2015-03-09,5.78,13.86,13.76,13.82,92440.77
2015-03-08,1.91,-1.05,-1.22,-1.25,-5315.7
2015-03-07,0.30000000000001,2.82,2.8,2.92,-38238.25
2015-03-06,2.39,-2.5,-2.47,-2.8,-36334.33
2015-03-05,-8.44,3.73,3.79,3.83,-24.25
2015-03-04,4.24,-8.87,-8.89,-8.6,-27908.31
2015-03-03,13.2,8.0,8.05,7.95,34891.93
2015-03-02,9.76,13.34,13.38,13.42,41506.19
2015-03-01,-0.94,4.66,4.74,4.64,31873.42
2015-02-28,3.42,-0.84999999999997,-0.91999999999999,-0.88000000000002,-101160.55
2015-02-27,12.6,18.39,18.43,18.49,101276.67
2015-02-26,-1.16,-0.63000000000002,-0.70999999999998,-0.78,7735.37
2015-02-25,-0.81999999999999,-1.67,-1.61,-1.76,-8064.61
2015-02-24,3.02,0.41999999999999,0.22,0.37,-9114.59
2015-02-23,-6.28,3.41,3.63,3.47,-12747.98
